,Order Date,Ship Mode,Customer ID,Segment,Country,City,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Profit_Range
0,01-01-20,Standard Class,GA-14725,Consumer,United States,Lorain,Ohio,East,Furniture,Furnishings,48.896,4,0.2,8.5568,Low_Profit
2,01-01-20,First Class,DP-13390,Home Office,United States,Franklin,Wisconsin,Central,Office Supplies,Binders,3.6,2,0.0,1.728,Low_Profit
4,01-01-20,Standard Class,JM-15250,Consumer,United States,Huntsville,Texas,Central,Furniture,Furnishings,141.42,5,0.6,187.3815,Medium_profit
6,01-01-20,Standard Class,JM-15250,Consumer,United States,Huntsville,Texas,Central,Office Supplies,Art,12.736,4,0.2,2.2288,Low_Profit
7,01-01-20,Standard Class,JM-15250,Consumer,United States,Huntsville,Texas,Central,Office Supplies,Binders,6.47,5,0.8,9.705,Low_Profit
8,01-01-20,Standard Class,JM-15250,Consumer,United States,Huntsville,Texas,Central,Office Supplies,Binders,13.748,14,0.8,22.6842,Low_Profit
9,01-01-20,Standard Class,JM-15250,Consumer,United States,Huntsville,Texas,Central,Office Supplies,Appliances,15.224,2,0.8,38.8212,Medium_profit
11,02-01-20,First Class,AS-10045,Corporate,United States,Jacksonville,North Carolina,South,Office Supplies,Binders,15.66,5,0.7,12.528,Low_Profit
12,02-01-20,First Class,AS-10045,Corporate,United States,Jacksonville,North Carolina,South,Office Supplies,Binders,28.854,6,0.7,21.1596,Low_Profit
13,02-01-20,Second Class,TS-21655,Consumer,United States,El Paso,Texas,Central,Office Supplies,Art,31.744,2,0.2,3.968,Low_Profit
14,02-01-20,Second Class,TS-21655,Consumer,United States,El Paso,Texas,Central,Office Supplies,Appliances,5.432,2,0.8,13.58,Low_Profit
17,02-01-20,Second Class,FW-14395,Corporate,United States,Los Angeles,California,West,Technology,Accessories,16.59,1,0.0,5.8065,Low_Profit
18,03-01-20,Standard Class,DL-13315,Consumer,United States,Rancho Cucamonga,California,West,Office Supplies,Paper,38.88,6,0.0,18.6624,Low_Profit
20,03-01-20,Standard Class,CM-12385,Consumer,United States,San Francisco,California,West,Office Supplies,Art,9.12,3,0.0,3.1008,Low_Profit
21,06-01-20,Standard Class,DP-13390,Home Office,United States,Tuscaloosa,Alabama,South,Office Supplies,Binders,33.74,7,0.0,15.5204,Low_Profit
23,07-01-20,Standard Class,TS-21085,Consumer,United States,Ormond Beach,Florida,South,Office Supplies,Binders,2.808,3,0.7,1.9656,Low_Profit
24,07-01-20,Second Class,JF-15190,Consumer,United States,Long Beach,California,West,Office Supplies,Storage,153.78,11,0.0,44.5962,Medium_profit
25,07-01-20,Second Class,JF-15190,Consumer,United States,Long Beach,California,West,Office Supplies,Storage,61.02,3,0.0,0.6102,Low_Profit
26,07-01-20,Second Class,JF-15190,Consumer,United States,Long Beach,California,West,Office Supplies,Supplies,110.11,7,0.0,31.9319,Medium_profit
27,07-01-20,Second Class,JF-15190,Consumer,United States,Long Beach,California,West,Office Supplies,Fasteners,7.89,1,0.0,3.5505,Low_Profit
29,09-01-20,Standard Class,BP-11290,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Binders,274.491,3,0.7,228.7425,High_profit
30,12-01-20,Second Class,DA-13450,Home Office,United States,Washington,District of Columbia,East,Office Supplies,Paper,40.08,6,0.0,19.2384,Low_Profit
31,12-01-20,Second Class,DA-13450,Home Office,United States,Washington,District of Columbia,East,Furniture,Furnishings,37.68,2,0.0,15.8256,Low_Profit
32,12-01-20,Standard Class,LS-16945,Corporate,United States,San Francisco,California,West,Office Supplies,Envelopes,9.78,1,0.0,4.89,Low_Profit
34,13-01-20,Second Class,CP-12085,Corporate,United States,Springfield,Missouri,Central,Office Supplies,Paper,32.4,5,0.0,15.552,Low_Profit
35,13-01-20,Second Class,CP-12085,Corporate,United States,Springfield,Missouri,Central,Office Supplies,Art,209.94,6,0.0,54.5844,Medium_profit
37,13-01-20,Second Class,CP-12085,Corporate,United States,Springfield,Missouri,Central,Furniture,Bookcases,212.94,3,0.0,53.235,Medium_profit
38,14-01-20,First Class,RB-19570,Consumer,United States,Jacksonville,North Carolina,South,Office Supplies,Envelopes,21.744,1,0.2,7.3386,Low_Profit
39,14-01-20,First Class,RB-19570,Consumer,United States,Jacksonville,North Carolina,South,Technology,Phones,7.92,5,0.2,0.693,Low_Profit
40,14-01-20,First Class,TP-21565,Corporate,United States,Aurora,Colorado,West,Technology,Accessories,169.064,7,0.2,14.7931,Low_Profit
41,14-01-20,First Class,TP-21565,Corporate,United States,Aurora,Colorado,West,Office Supplies,Storage,168.624,9,0.2,14.7546,Low_Profit
42,14-01-20,Standard Class,BH-11710,Consumer,United States,Johnson City,Tennessee,South,Office Supplies,Envelopes,18.336,3,0.2,6.6468,Low_Profit
43,14-01-20,Standard Class,BH-11710,Consumer,United States,Johnson City,Tennessee,South,Office Supplies,Paper,36.288,7,0.2,12.7008,Low_Profit
44,14-01-20,Standard Class,BH-11710,Consumer,United States,Johnson City,Tennessee,South,Technology,Phones,111.984,2,0.2,6.999,Low_Profit
45,14-01-20,Standard Class,BH-11710,Consumer,United States,Johnson City,Tennessee,South,Office Supplies,Binders,5.97,5,0.7,4.577,Low_Profit
46,14-01-20,Standard Class,BH-11710,Consumer,United States,Johnson City,Tennessee,South,Office Supplies,Binders,2.508,2,0.7,1.8392,Low_Profit
47,14-01-20,Standard Class,SO-20335,Consumer,United States,Los Angeles,California,West,Office Supplies,Paper,154.9,5,0.0,69.705,Medium_profit
48,14-01-20,Standard Class,HR-14770,Home Office,United States,Richmond,Indiana,Central,Office Supplies,Storage,67.4,5,0.0,17.524,Low_Profit
49,14-01-20,Standard Class,HR-14770,Home Office,United States,Richmond,Indiana,Central,Office Supplies,Fasteners,2.52,2,0.0,0.1008,Low_Profit
50,14-01-20,Standard Class,HR-14770,Home Office,United States,Richmond,Indiana,Central,Technology,Phones,67.8,4,0.0,1.356,Low_Profit
51,14-01-20,Standard Class,HR-14770,Home Office,United States,Richmond,Indiana,Central,Office Supplies,Storage,18.76,2,0.0,5.2528,Low_Profit
52,14-01-20,Standard Class,HR-14770,Home Office,United States,Richmond,Indiana,Central,Technology,Accessories,12.12,4,0.0,2.5452,Low_Profit
53,14-01-20,Standard Class,HR-14770,Home Office,United States,Richmond,Indiana,Central,Office Supplies,Paper,11.34,1,0.0,5.5566,Low_Profit
54,14-01-20,Standard Class,HR-14770,Home Office,United States,Richmond,Indiana,Central,Technology,Accessories,159.8,4,0.0,70.312,Medium_profit
55,14-01-20,Standard Class,HR-14770,Home Office,United States,Richmond,Indiana,Central,Furniture,Furnishings,18.96,2,0.0,8.532,Low_Profit
56,15-01-20,First Class,RW-19690,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Appliances,34.384,1,0.2,3.8682,Low_Profit
58,15-01-20,Standard Class,SC-20095,Consumer,United States,Quincy,Massachusetts,East,Office Supplies,Paper,12.7,2,0.0,5.842,Low_Profit
59,15-01-20,Standard Class,TT-21460,Home Office,United States,Los Angeles,California,West,Office Supplies,Art,21.4,5,0.0,6.206,Low_Profit
60,15-01-20,First Class,TB-21250,Consumer,United States,Austin,Texas,Central,Office Supplies,Binders,32.784,4,0.8,52.4544,Medium_profit
61,15-01-20,First Class,TB-21250,Consumer,United States,Austin,Texas,Central,Technology,Accessories,47.984,2,0.2,14.3952,Low_Profit
62,15-01-20,First Class,TB-21250,Consumer,United States,Austin,Texas,Central,Technology,Accessories,62.592,8,0.2,13.3008,Low_Profit
63,15-01-20,First Class,TB-21250,Consumer,United States,Austin,Texas,Central,Office Supplies,Binders,4.276,1,0.8,6.6278,Low_Profit
64,16-01-20,Same Day,JO-15145,Corporate,United States,Los Angeles,California,West,Furniture,Furnishings,27.92,4,0.0,8.0968,Low_Profit
68,16-01-20,Second Class,AR-10540,Consumer,United States,Jackson,Michigan,Central,Office Supplies,Paper,56.07,7,0.0,25.2315,Low_Profit
